common_name,inchikey,alternative_names
2-Pentanone,XNLICIUVMPYHGG-UHFFFAOYSA-N,
2-Heptanone,CATSNJVOTSVZJV-UHFFFAOYSA-N,
6-Methyl-5-hepten-2-one,UHEPJGULSIKKTP-UHFFFAOYSA-N,
Butanedione,QSJXEFYPDANLFS-UHFFFAOYSA-N,
Acetoin,ROWKJAVDOGWPAT-UHFFFAOYSA-N,
"3-Penten-2-one, (3Z)-",LABTWGUMFABVFG-ARJAWSKDSA-N,
2-Hexanone,QQZOPKMRPOGIEB-UHFFFAOYSA-N,
3-Hexanone,PFCHFHIRKBAQGU-UHFFFAOYSA-N,
Cyclohexanone,JHIVVAPYMSGYDF-UHFFFAOYSA-N,
2-Octanone,ZPVFWPFBNIEHGJ-UHFFFAOYSA-N,
2-Nonanone,VKCYHJWLYTUGCC-UHFFFAOYSA-N,
3-Heptanone,NGAZZOYFWWSOGK-UHFFFAOYSA-N,
2-Phenylethanol,WRMNZCZEMHIOCP-UHFFFAOYSA-N,
Benzyl Alcohol,WVDDGKGOMKODPV-UHFFFAOYSA-N,
Methyl Salicylate,OSWPMRLSEDHDFF-UHFFFAOYSA-N,
Methyl Benzoate,QPJVMBTYPHYUOC-UHFFFAOYSA-N,
Ethyl benzoate,MTZQAGJQAFMTAQ-UHFFFAOYSA-N,
2-Phenylethyl Acetate,MDHYEMXUFSJLGV-UHFFFAOYSA-N,
Benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,
Phenylacetaldehyde,DTUQWGWMVIHBKE-UHFFFAOYSA-N,
Acetophenone,KWOLFJPFCHCOCG-UHFFFAOYSA-N,
Ethyl Cinnamate,KBEBGUQPQBELIU-CMDGGOBGSA-N,
O-Cresol,QWVGKYWNOKOFNN-UHFFFAOYSA-N,
4-Ethylguaiacol,CHWNEIVBYREQRF-UHFFFAOYSA-N,
Eugenol,RRAFCDWBNXTKKO-UHFFFAOYSA-N,
