drawn_index,display_label,side,centroid_x,centroid_y,manual_assigned_glomerulus,top_door_match,vertices_x,vertices_y,response_Apple_Cider_Vinegar,response_Benzaldehyde,response_Citral,response_Hexanol,response_Linalool,response_3-Octanol,response_Ethyl_Butyrate
18,L15,L,1233.73,1625.77,VL1,VA7l,1218.0;1187.9;1187.0;1200.2;1221.8;1239.6;1254.6;1261.2;1267.8;1267.8;1259.3;1239.6,1568.0;1598.1;1617.8;1670.4;1682.6;1683.5;1670.4;1642.2;1621.5;1601.8;1580.2;1572.7,0.022151,0.013263,0.006537,0.015016,0.012052,0.010182,0.009063
19,L16,L,1401.69,1355.03,,VC1,1401.2;1421.8;1430.3;1432.2;1430.3;1404.0;1395.5;1389.0;1373.0;1357.0;1384.3,1319.1;1332.2;1350.1;1364.2;1380.1;1390.5;1382.9;1370.7;1354.8;1340.7;1320.0,0.049982,0.036101,0.035347,0.062659,0.037281,0.070966,0.077411
20,L17,L,1328.13,1224.67,,VC1,1304.4;1333.5;1348.6;1355.1;1356.1;1355.1;1354.2;1337.3;1320.4;1286.6;1290.3;1296.0,1196.0;1194.1;1195.1;1201.7;1217.6;1240.2;1247.7;1253.3;1256.1;1250.5;1228.9;1214.8,0.017520,0.030055,0.033376,0.020878,0.010360,0.039240,0.027537
21,5,,1327.14,1569.60,,✓ ΔF/F,1328.8;1311.9;1305.4;1295.0;1302.5;1322.3;1334.5;1355.1;1359.8;1356.1,1589.6;1577.4;1574.6;1549.2;1535.1;1537.0;1548.3;1584.0;1596.2;1604.6,0.024614,0.002425,0.001084,0.006463,0.001718,0.013713,0.008520
22,6,,1296.41,1615.84,,✓ ΔF/F,1283.8;1299.7;1316.6;1332.6;1336.4;1315.7;1305.4;1296.0;1280.9;1272.5;1272.5;1273.4;1267.8,1672.3;1668.5;1656.3;1626.2;1605.6;1581.1;1579.3;1569.9;1567.1;1574.6;1608.4;1642.2;1654.4,0.029189,0.019403,0.006825,0.008363,0.003460,0.010393,0.011471
23,L18,L,1321.56,1477.60,DL2v,VC1,1325.1;1340.1;1349.5;1347.6;1310.1;1299.7;1291.3;1309.1,1461.9;1468.4;1478.8;1491.9;1495.7;1490.0;1472.2;1461.9,0.039124,0.031283,0.019934,0.032507,0.039679,0.033781,0.031853
24,L19,L,1402.81,1517.12,,VC1,1399.3;1420.0;1436.9;1438.7;1435.9;1427.5;1417.1;1390.8;1368.3;1355.1;1361.7;1382.4,1480.6;1491.0;1518.2;1531.4;1542.6;1550.1;1552.0;1540.8;1519.2;1507.9;1489.1;1482.5,0.015260,-0.018006,0.012031,0.008327,0.007380,0.002435,-0.001511
25,7,,1372.06,1559.55,,✓ ΔF/F,1346.7;1380.5;1404.9;1408.7;1396.5;1380.5;1366.4;1356.1;1343.9;1336.4,1528.5;1538.9;1555.8;1567.1;1576.5;1584.9;1584.9;1574.6;1550.1;1534.2,0.036455,-0.013684,0.004685,0.000001,0.012216,0.012196,-0.005245
26,L20,L,1403.22,1427.61,,VC1,1367.4;1385.2;1409.6;1433.1;1435.0;1435.9;1433.1;1417.1;1395.5;1360.8;1362.7,1416.8;1398.9;1393.3;1407.4;1418.6;1432.7;1445.9;1457.2;1458.1;1444.9;1429.9,0.032567,-0.003931,0.010958,0.044803,-0.009997,0.051236,0.055130
27,8,,1426.71,1483.63,,✓ ΔF/F,1440.6;1452.8;1464.1;1458.5;1451.0;1436.9;1420.9;1397.4;1382.4;1371.1;1418.1,1450.6;1458.1;1497.5;1514.5;1524.8;1509.8;1484.4;1475.9;1475.9;1469.4;1459.0,0.006385,-0.003149,0.002851,0.005909,-0.007151,0.021717,0.016099
