orn_root_id,orn_label,orn_glomerulus,level1_root_id,level1_cell_type,level1_category,level2_root_id,level2_cell_type,level2_category,synapse_count_step1,synapse_count_step2
720575940643240904,Or67b,ORN_VA3,720575940627014641,lLN9,Local_Neuron,720575940620199962,VA1v_adPN,Projection_Neuron,1,13
720575940643240904,Or67b,ORN_VA3,720575940627014641,lLN9,Local_Neuron,720575940613419695,DC3_adPN,Projection_Neuron,1,1
720575940643240904,Or67b,ORN_VA3,720575940627014641,lLN9,Local_Neuron,720575940629733626,VA1v_adPN,Projection_Neuron,1,21
720575940643240904,Or67b,ORN_VA3,720575940627014641,lLN9,Local_Neuron,720575940640804853,VA1d_adPN,Projection_Neuron,1,12
720575940643240904,Or67b,ORN_VA3,720575940627014641,lLN9,Local_Neuron,720575940628283560,VA1v_adPN,Projection_Neuron,1,13
720575940643240904,Or67b,ORN_VA3,720575940627014641,lLN9,Local_Neuron,720575940622811430,VA1d_adPN,Projection_Neuron,1,12
720575940643240904,Or67b,ORN_VA3,720575940627014641,lLN9,Local_Neuron,720575940605102694,DA1_lPN,Projection_Neuron,1,1
720575940643240904,Or67b,ORN_VA3,720575940627014641,lLN9,Local_Neuron,720575940629097922,VA1v_adPN,Projection_Neuron,1,16
720575940643240904,Or67b,ORN_VA3,720575940627014641,lLN9,Local_Neuron,720575940634229615,VA1v_vPN,Projection_Neuron,1,5
720575940643240904,Or67b,ORN_VA3,720575940627014641,lLN9,Local_Neuron,720575940656090017,VA3_adPN,Projection_Neuron,1,3
720575940643240904,Or67b,ORN_VA3,720575940627014641,lLN9,Local_Neuron,720575940603985952,D_adPN,Projection_Neuron,1,1
720575940643240904,Or67b,ORN_VA3,720575940627014641,lLN9,Local_Neuron,720575940613345442,DA1_lPN,Projection_Neuron,1,1
720575940643240904,Or67b,ORN_VA3,720575940627014641,lLN9,Local_Neuron,720575940633804212,D_adPN,Projection_Neuron,1,2
720575940643240904,Or67b,ORN_VA3,720575940627014641,lLN9,Local_Neuron,720575940634939327,DC3_adPN,Projection_Neuron,1,3
720575940643240904,Or67b,ORN_VA3,720575940627014641,lLN9,Local_Neuron,720575940627844734,D_adPN,Projection_Neuron,1,2
720575940643240904,Or67b,ORN_VA3,720575940627014641,lLN9,Local_Neuron,720575940632720026,VA1v_vPN,Projection_Neuron,1,6
720575940643240904,Or67b,ORN_VA3,720575940627014641,lLN9,Local_Neuron,720575940604431584,VA3_adPN,Projection_Neuron,1,3
720575940643240904,Or67b,ORN_VA3,720575940627014641,lLN9,Local_Neuron,720575940627160322,DC2_adPN,Projection_Neuron,1,1
720575940643240904,Or67b,ORN_VA3,720575940627014641,lLN9,Local_Neuron,720575940637208718,DA1_lPN,Projection_Neuron,1,1
720575940631953619,Or85d,ORN_VA4,720575940622491632,vLN26,Local_Neuron,720575940617207185,DL5_adPN,Projection_Neuron,1,59
720575940631953619,Or85d,ORN_VA4,720575940622491632,vLN26,Local_Neuron,720575940633804212,D_adPN,Projection_Neuron,1,1
720575940631953619,Or85d,ORN_VA4,720575940622491632,vLN26,Local_Neuron,720575940622368792,DL1_adPN,Projection_Neuron,1,56
720575940631953619,Or85d,ORN_VA4,720575940622491632,vLN26,Local_Neuron,720575940625784153,VA7l_adPN,Projection_Neuron,1,4
720575940631953619,Or85d,ORN_VA4,720575940622491632,vLN26,Local_Neuron,720575940616079035,DL1_adPN,Projection_Neuron,1,40
720575940631953619,Or85d,ORN_VA4,720575940622491632,vLN26,Local_Neuron,720575940617668747,VA4_lPN,Projection_Neuron,1,3
720575940631953619,Or85d,ORN_VA4,720575940622491632,vLN26,Local_Neuron,720575940627245585,VP4_vPN,Projection_Neuron,1,3
720575940631953619,Or85d,ORN_VA4,720575940622491632,vLN26,Local_Neuron,720575940638288447,MZ_lv2PN,Projection_Neuron,1,65
720575940631953619,Or85d,ORN_VA4,720575940622491632,vLN26,Local_Neuron,720575940637056887,DC1_adPN,Projection_Neuron,1,17
720575940631953619,Or85d,ORN_VA4,720575940622491632,vLN26,Local_Neuron,720575940648650884,DP1l_adPN,Projection_Neuron,1,22
